feature,importance
cat__model_segment_land,0.09191182066905897
num__lot_size_sqft,0.09019210971870753
cat__property_type_group_vacant_land,0.08935190584262707
num__gis_acres,0.08631426586739656
num__total_acres,0.08466704644784112
num__longitude,0.0728002669316819
num__latitude,0.07175929769311601
cat__property_type_Vacant Land,0.06406337210641692
cat__is_residential_False,0.0617554742290206
cat__site_zip_code_missing,0.038665365645395786
cat__property_type_Improved Property,0.029216090667227412
cat__site_state_MT,0.028104387122854086
cat__model_segment_improved_unknown,0.027890719416613276
cat__site_state_missing,0.026571297948305324
cat__site_city_missing,0.02581040893461705
cat__is_residential_missing,0.0240649856426643
cat__property_type_group_improved_property,0.02101669040738333
cat__model_segment_residential,0.010183160641377483
cat__site_city_Billings,0.009213367373050592
cat__is_residential_True,0.006584163420239277
cat__site_zip_code_59106,0.006177653378877355
cat__site_zip_code_59101,0.005080404809239983
cat__site_zip_code_59105,0.004446551706430113
cat__site_zip_code_59102,0.004232020425126544
cat__property_type_Condominium,0.002344791174146605
cat__property_type_group_condominium,0.0019249884420202198
cat__property_type_Townhouse,0.0017974894219424404
cat__property_type_Apartment,0.0017727938091103971
cat__model_segment_commercial_or_income,0.001719897555986538
cat__site_zip_code_59044,0.001500369982848594
cat__property_type_group_townhouse,0.0013392466434884063
cat__property_type_group_multifamily,0.0013171610964257015
cat__site_city_Laurel,0.0010811228907181415
cat__property_type_group_mobile_rv_park,0.0004526568354408512
cat__site_zip_code_59079,0.00043988133729363664
cat__property_type_Mobile/RV Parks,0.0003809067245134621
cat__property_type_group_industrial,0.0003621231708848161
cat__property_type_Industrial Property,0.00035004773464592567
cat__model_segment_industrial,0.0003256936704793339
cat__site_zip_code_59015,0.0002822696438143527
cat__site_city_Broadview,0.0002545662665790292
cat__site_city_Shepherd,0.00025116758723211987
cat__site_city_Acton,0.00022919572611139607
cat__site_zip_code_59002,0.00021503312395657208
cat__site_city_Huntley,0.0001636797152130395
cat__site_city_Custer,0.0001516322309993916
cat__site_zip_code_59037,0.00014996271227384574
cat__site_zip_code_59006,0.00014046675005493936
cat__site_city_Molt,0.00014042621226305734
cat__site_city_Ballantine,0.00013977678048956375
cat__site_zip_code_59024,0.0001381474622710244
cat__site_zip_code_59064,0.0001308199073848791
cat__site_zip_code_59057,0.00012846170532303922
cat__site_city_Worden,0.0001084259459096982
cat__site_city_Pompeys Pillar,9.395690308909685e-05
cat__site_zip_code_59088,7.828352386987104e-05
cat__site_city_Bilings,6.487821794651216e-06
cat__site_zip_code_59041,3.961315495395233e-06
cat__site_city_Pompey Pillar,2.582926518169188e-06
cat__site_city_Lockwood,2.5106912684073183e-06
cat__site_zip_code_59063,2.4301532378098776e-06
cat__site_city_Joliet,2.1667639114827755e-06
cat__site_city_Park City,1.4533773061163548e-06
cat__site_city_Silesia,1.3721841946381866e-07
num__pending_to_active_ratio,0.0
num__price_reduction_share,0.0
num__market_heat_score,0.0
num__median_days_on_market,0.0
num__new_listing_count,0.0
num__pending_listing_count,0.0
num__price_reduced_count,0.0
num__median_listing_price_per_square_foot,0.0
num__median_listing_price,0.0
num__active_listing_count,0.0
num__unemployment_pressure_score,0.0
num__mortgage_rate_13week_avg,0.0
num__mortgage_rate_change_52week,0.0
num__unemployment_rate,0.0
num__unemployment_rate_3month_avg,0.0
num__unemployment_rate_12month_avg,0.0
num__hpi_yoy_change_pct,0.0
num__hpi_index,0.0
num__tax_year,0.0
num__hpi_period_change_pct,0.0
num__mortgage_rate,0.0
num__mortgage_rate_4week_avg,0.0
cat__site_city_Lauerl,0.0
cat__site_city_Pompey'S Pillar,0.0
cat__site_zip_code_59084,0.0
cat__site_zip_code_59008,0.0
cat__site_city_Shepered,0.0
cat__site_city_Shephard,0.0
cat__county_name_Yellowstone,0.0
cat__site_zip_code_59089,0.0
cat__site_zip_code_59103,0.0
cat__site_zip_code_59107,0.0
